Mr	Derek Fatchett	Derek John Fatchett	Fatchett	mr-derek-fatchett
Mr	Alastair Goodlad	Alastair Robertson Goodlad	Goodlad	mr-alastair-goodlad
Mr	Roger Stott	Roger Stott	Stott	mr-roger-stott
Mr	George Robertson	George Islay Macneill Robertson	Robertson	mr-george-robertson
Mr	Alan Clark	Alan Kenneth McKenzie Clark	Clark	mr-alan-clark
Mr	Cynog Dafis	Cynog Glyndwr Dafis	Dafis	mr-cynog-dafis
Mr	Michael Colvin	Michael Keith Beale Colvin	Colvin	mr-michael-colvin
Mr	Bernie Grant	Bernard Alexander Montgomery Grant	Grant	mr-bernie-grant
Mr	Clifford Forsythe	Clifford Forsythe	Forsythe	mr-clifford-forsythe
Mr	Donald Dewar	Donald Campbell Dewar	Dewar	mr-donald-dewar
Mr	Nick Ainger	Nicholas Richard Ainger	Ainger	mr-nick-ainger
Mr	Peter Ainsworth	Peter Michael Ainsworth	Ainsworth	mr-peter-ainsworth
Mr	Bob Ainsworth	Robert William Ainsworth	Ainsworth	mr-bob-ainsworth
Mr	Richard Allan	Richard Beecroft Allan	Allan	mr-richard-allan
Mr	Graham Allen	Graham William Allen	Allen	mr-graham-allen
Mr	David Amess	David Anthony Andrew Amess	Amess	mr-david-amess
Earl of	Michael Ancram	 Ancram	Ancram	earl-of-ancram
Mr	Donald Anderson	Donald Anderson	Anderson	mr-donald-anderson
Mrs	Janet Anderson	Janet Anderson	Anderson	mrs-janet-anderson
Mr	James Arbuthnot	James Norwich Arbuthnot	Arbuthnot	mr-james-arbuthnot
Ms	Hilary Armstrong	Hilary Jane Armstrong	Armstrong	ms-hilary-armstrong
Mr	Paddy Ashdown	Jeremy John Durham Ashdown	Ashdown	mr-paddy-ashdown
Mr	Joe Ashton	Joseph William Ashton	Ashton	mr-joe-ashton
Ms	Candy Atherton	Candice Kathleen Atherton	Atherton	ms-candy-atherton
Ms	Charlotte Atkins	Charlotte Jean Scott Atkins	Atkins	ms-charlotte-atkins
Mr	David Atkinson	David Anthony Atkinson	Atkinson	mr-david-atkinson
Mr	Peter Atkinson	Peter Landreth Atkinson	Atkinson	mr-peter-atkinson
Mr	George Clark	George Smith Clark	Clark	mr-george-clark
Mr	Norman Baker	Norman John Baker	Baker	mr-norman-baker
Mr	Tony Baldry	Antony Brian Baldry	Baldry	mr-tony-baldry
Mrs	Jackie Ballard	Jacqueline Margaret Ballard	Ballard	mrs-jackie-ballard
Mr	Tony Banks	Antony Louis Banks	Banks	mr-tony-banks
Mr	Harry Barnes	Harold Barnes	Barnes	mr-harry-barnes
Mr	Kevin Barron	Kevin John Barron	Barron	mr-kevin-barron
Mr	John Battle	John Dominic Battle	Battle	mr-john-battle
Mr	Hugh Bayley	Hugh Bayley	Bayley	mr-hugh-bayley
Mr	Nigel Beard	Christopher Nigel Beard	Beard	mr-nigel-beard
Miss	Margaret Jackson	Margaret Mary Jackson	Jackson	miss-margaret-jackson
Miss	Anne Begg	Anne Begg	Begg	miss-anne-begg
Mr	Roy Beggs	John Robert Beggs	Beggs	mr-roy-beggs
Mr	Alan Beith	Alan James Beith	Beith	mr-alan-beith
Mr	Martin Bell	Martin Bell	Bell	mr-martin-bell
Mr	Stuart Bell	Stuart Bell	Bell	mr-stuart-bell
Mr	John Smith	John Smith	Smith	mr-john-smith
Mr	Tony Benn	Anthony Neil Wedgwood Benn	Benn	mr-tony-benn
Mr	Andrew Bennett	Andrew Francis Bennett	Bennett	mr-andrew-bennett
Mr	Joe Benton	Joseph Edward Benton	Benton	mr-joe-benton
Mr	John Bercow	John Simon Bercow	Bercow	mr-john-bercow
Sir	Paul Beresford	Alexander Paul Beresford	Beresford	sir-paul-beresford
Mr	Gerald Bermingham	Gerald Edward Bermingham	Bermingham	mr-gerald-bermingham
Dr	Roger Berry	Roger Leslie Berry	Berry	dr-roger-berry
Mr	Harold Best	Harold Best	Best	mr-harold-best
Mr	Clive Betts	Clive James Charles Betts	Betts	mr-clive-betts
Mrs	Liz Blackman	Elizabeth Marion Blackman	Blackman	mrs-liz-blackman
Mr	Tony Blair	Anthony Charles Lynton Blair	Blair	mr-tony-blair
